,Start,End,DeltaBz,Duration,MeanVx
96,2017-08-21 08:06:30.250,2017-08-21 08:06:33.750,-0.55866295,3.5,297.207763671875
97,2017-08-21 11:18:26.250,2017-08-21 11:18:40.750,2.3997135,14.5,-5.326486587524414
98,2017-08-21 12:10:58.750,2017-08-21 12:11:07.250,-3.6411772,8.5,35.419376373291016
99,2017-08-21 12:13:38.250,2017-08-21 12:13:46.750,-2.073645,8.5,166.47671508789062
100,2017-08-21 17:58:53.250,2017-08-21 17:58:57.250,-4.7579575,4.0,237.48878479003903
101,2017-08-24 05:02:06.250,2017-08-24 05:02:28.250,8.918663,22.0,-212.5953521728516
102,2017-08-24 05:04:50.750,2017-08-24 05:04:51.750,-4.958322,1.0,232.24061584472656
103,2017-08-24 07:54:33.250,2017-08-24 07:54:34.750,1.3416772,1.5,-155.48583984375
104,2017-08-24 08:30:54.250,2017-08-24 08:30:58.250,-5.7234344,4.0,17.673412322998047
105,2017-08-24 10:53:55.250,2017-08-24 10:54:04.750,-2.4152524,9.5,91.47576904296876
106,2017-09-07 09:27:24.250,2017-09-07 09:27:25.750,-7.016764,1.5,674.9908447265625
107,2018-05-22 15:42:49.750,2018-05-22 15:42:50.750,-7.9647584,1.0,442.9922180175781
108,2018-05-22 15:43:00.250,2018-05-22 15:43:02.750,-7.618174,2.5,539.1348876953125
109,2018-06-05 10:03:26.250,2018-06-05 10:03:30.250,-8.6616535,4.0,37.59811401367188
110,2018-06-19 18:53:38.250,2018-06-19 18:53:46.250,-6.205953,8.0,196.8169403076172
111,2018-06-22 14:16:53.750,2018-06-22 14:17:00.750,1.6404389,7.0,-88.72785949707031
112,2018-06-25 18:22:20.750,2018-06-25 18:22:29.750,-12.348962,9.0,271.61444091796875
113,2018-06-30 21:19:56.250,2018-06-30 21:20:00.750,-11.288414,4.5,817.8893432617188
114,2018-07-02 00:43:17.250,2018-07-02 00:43:45.750,-1.8416562,28.5,138.1336212158203
115,2018-07-03 16:20:16.250,2018-07-03 16:20:20.750,13.282595,4.5,-208.11387634277344
116,2018-07-24 17:04:37.750,2018-07-24 17:04:44.750,-9.573406,7.0,179.27371215820312
117,2018-07-26 13:16:55.750,2018-07-26 13:16:58.250,-1.4800642,2.5,45.18211364746094
118,2018-08-01 12:58:17.750,2018-08-01 12:58:21.250,-7.523019,3.5,9.329275131225586
119,2018-08-01 18:36:40.250,2018-08-01 18:36:47.750,-3.8560424,7.5,362.489501953125
120,2018-08-05 11:35:36.750,2018-08-05 11:35:39.750,-16.418535,3.0,18.57684898376465
