,Start,End,DeltaBz,Duration,MeanVx
149,2020-08-26 22:55:04.250,2020-08-26 22:55:06.250,-1.4598438,2.0,200.1045379638672
150,2020-08-26 23:37:05.750,2020-08-26 23:37:08.750,-3.618517,3.0,707.955322265625
151,2020-08-26 23:49:27.250,2020-08-26 23:49:35.250,-4.074679,8.0,390.0431213378906
152,2020-08-26 23:50:15.250,2020-08-26 23:50:16.250,-2.8625908,1.0,595.6516723632812
153,2020-08-27 02:00:58.750,2020-08-27 02:01:19.250,6.712594,20.5,-323.4130249023437
154,2020-08-27 02:02:34.250,2020-08-27 02:02:36.250,1.7963743,2.0,-353.261474609375
155,2020-08-27 03:11:51.250,2020-08-27 03:11:57.250,-2.6203175,6.0,305.9460754394531
156,2020-08-27 03:13:12.750,2020-08-27 03:13:15.750,-0.96862614,3.0,187.6406707763672
157,2020-08-27 03:28:12.250,2020-08-27 03:28:16.250,-2.5538201,4.0,304.5673217773437
158,2020-08-29 09:54:38.250,2020-08-29 09:54:41.250,7.2143664,3.0,-69.24652862548828
159,2020-08-29 09:58:43.750,2020-08-29 09:58:54.250,-8.726989,10.5,90.94059753417967
160,2020-08-29 21:33:10.750,2020-08-29 21:33:13.750,2.4835675,3.0,-119.71070098876952
161,2020-09-02 06:40:25.750,2020-09-02 06:40:28.250,-4.1549025,2.5,418.1763000488281
162,2020-09-02 08:37:43.250,2020-09-02 08:37:46.250,4.162843,3.0,-69.43577575683594
163,2020-09-14 02:31:34.250,2020-09-14 02:31:39.750,-3.3915215,5.5,120.16448974609376
164,2020-09-14 04:32:33.750,2020-09-14 04:32:41.750,6.086122,8.0,-120.98136901855467
165,2021-07-04 01:11:36.750,2021-07-04 01:11:39.250,-5.8525476,2.5,298.63690185546875
166,2021-08-01 11:06:28.750,2021-08-01 11:06:31.750,3.2955961,3.0,-148.68577575683594
167,2021-08-22 07:17:32.250,2021-08-22 07:17:38.750,-2.6748953,6.5,173.23074340820312
168,2021-08-29 04:24:24.250,2021-08-29 04:24:40.750,3.273516,16.5,-15.6897554397583
169,2021-09-05 02:13:44.250,2021-09-05 02:13:45.750,3.7395012,1.5,-223.2435760498047
170,2021-09-05 03:04:50.250,2021-09-05 03:04:53.250,2.1945434,3.0,-0.4560399353504181
171,2021-09-05 03:23:01.750,2021-09-05 03:23:06.250,-4.2108793,4.5,713.122802734375
172,2022-07-11 12:11:04.250,2022-07-11 12:11:10.750,14.142414,6.5,-152.02621459960938
173,2022-07-11 12:21:20.750,2022-07-11 12:21:24.250,-9.840606,3.5,155.55169677734375
174,2022-07-11 12:21:38.250,2022-07-11 12:21:42.750,-16.484833,4.5,208.69122314453125
175,2022-07-11 14:48:14.750,2022-07-11 14:48:29.250,-6.3144364,14.5,183.05130004882807
176,2022-07-12 02:08:16.250,2022-07-12 02:08:23.250,-6.796848,7.0,76.47917175292969
177,2022-07-12 06:16:57.250,2022-07-12 06:16:59.750,-5.1668715,2.5,22.424829483032227
178,2022-07-12 06:20:38.750,2022-07-12 06:20:49.750,-19.64658,11.0,266.27764892578125
179,2022-07-19 06:12:30.750,2022-07-19 06:12:36.750,8.139458,6.0,-470.5783386230469
180,2022-07-21 23:53:43.750,2022-07-21 23:54:03.250,-10.295269,19.5,101.33020782470705
