,Start,End,DeltaBz,Duration
182,2017-07-22 22:54:03.750,2017-07-22 22:54:06.750,-3.2644267,3.0
183,2017-07-23 00:16:24.250,2017-07-23 00:16:37.250,-4.100684,13.0
184,2017-07-23 00:20:10.250,2017-07-23 00:20:13.750,-3.4918306,3.5
185,2017-07-23 00:24:47.250,2017-07-23 00:24:50.250,-1.80733,3.0
186,2017-07-23 16:28:54.750,2017-07-23 16:28:59.750,2.240069,5.0
187,2017-07-23 16:30:27.250,2017-07-23 16:30:30.250,-2.4908152,3.0
188,2017-07-23 16:32:02.750,2017-07-23 16:32:07.250,-2.338652,4.5
189,2017-07-23 16:55:11.750,2017-07-23 16:55:20.750,-7.9011497,9.0
190,2017-07-23 19:32:06.250,2017-07-23 19:32:27.250,-2.0214372,21.0
191,2017-07-23 19:34:37.250,2017-07-23 19:34:40.750,-5.3077173,3.5
192,2017-07-23 19:34:44.250,2017-07-23 19:34:49.250,-2.0267925,5.0
193,2017-07-23 19:37:21.750,2017-07-23 19:37:33.750,1.6136646,12.0
194,2017-07-23 20:46:05.250,2017-07-23 20:46:14.250,12.2353325,9.0
195,2017-07-23 20:46:22.750,2017-07-23 20:46:30.750,-4.549671,8.0
196,2017-07-24 12:20:17.750,2017-07-24 12:20:35.750,2.7701519,18.0
197,2017-07-25 16:39:13.250,2017-07-25 16:39:17.750,-2.6457086,4.5
198,2017-07-25 22:10:27.250,2017-07-25 22:10:28.250,-20.129707,1.0
199,2017-07-26 00:01:30.750,2017-07-26 00:01:39.750,5.7316904,9.0
200,2017-07-26 00:05:52.250,2017-07-26 00:05:56.750,-10.861595,4.5
201,2017-07-26 00:06:04.250,2017-07-26 00:06:09.750,-7.58735,5.5
202,2017-07-26 00:14:54.250,2017-07-26 00:14:55.250,1.6133568,1.0
203,2017-07-26 00:17:49.250,2017-07-26 00:17:55.250,-11.650645,6.0
204,2017-07-26 00:17:55.250,2017-07-26 00:18:02.250,8.610213,7.0
205,2017-07-26 02:43:03.250,2017-07-26 02:43:06.750,4.1264935,3.5
206,2017-07-26 04:50:03.750,2017-07-26 04:50:12.250,4.679986,8.5
207,2017-07-26 07:03:16.750,2017-07-26 07:03:34.750,7.723275,18.0
208,2017-07-26 07:06:40.750,2017-07-26 07:06:54.250,6.259462,13.5
209,2017-07-26 07:23:08.250,2017-07-26 07:23:11.250,-5.75086,3.0
210,2017-07-26 07:23:58.250,2017-07-26 07:24:05.250,7.396534,7.0
211,2017-07-26 07:26:48.750,2017-07-26 07:26:51.250,12.739291,2.5
212,2017-07-26 07:27:01.250,2017-07-26 07:27:06.250,-7.505005,5.0
213,2017-07-26 07:27:29.250,2017-07-26 07:27:31.250,13.947992,2.0
214,2017-07-26 07:29:47.750,2017-07-26 07:29:49.250,4.981605,1.5
215,2017-07-26 07:30:13.750,2017-07-26 07:30:16.250,-4.5869265,2.5
216,2017-07-26 07:33:36.250,2017-07-26 07:33:40.250,2.5607805,4.0
217,2017-07-26 07:36:40.250,2017-07-26 07:36:43.750,4.3250933,3.5
218,2017-07-26 07:37:05.750,2017-07-26 07:37:07.750,9.101848,2.0
219,2017-07-26 13:40:44.750,2017-07-26 13:40:57.250,3.1275969,12.5
220,2017-07-28 20:06:27.750,2017-07-28 20:06:36.250,2.6083355,8.5
221,2017-07-29 07:30:11.750,2017-07-29 07:30:15.250,1.8651015,3.5
222,2017-07-29 08:22:10.250,2017-07-29 08:22:15.750,-7.537471,5.5
223,2017-07-29 08:31:00.750,2017-07-29 08:31:04.250,2.5717251,3.5
224,2017-07-29 08:35:56.750,2017-07-29 08:36:10.250,6.0432615,13.5
225,2017-07-29 08:36:10.250,2017-07-29 08:36:18.250,-4.875065,8.0
226,2017-07-29 15:46:46.250,2017-07-29 15:46:49.750,-1.7838289,3.5
227,2017-07-29 15:52:55.250,2017-07-29 15:53:02.750,5.0985837,7.5
228,2017-07-29 15:53:54.250,2017-07-29 15:54:02.750,6.4742365,8.5
229,2017-07-29 15:55:31.250,2017-07-29 15:55:35.250,-9.732607,4.0
230,2017-07-29 16:02:08.750,2017-07-29 16:02:10.750,5.845381,2.0
231,2017-07-29 18:14:23.250,2017-07-29 18:14:26.750,2.8670428,3.5
232,2017-07-30 06:24:56.750,2017-07-30 06:25:00.250,1.6753224,3.5
233,2017-07-31 20:59:54.750,2017-07-31 20:59:56.750,-5.3105884,2.0
234,2017-07-31 21:52:20.250,2017-07-31 21:52:34.250,-9.822818,14.0
235,2017-07-31 22:27:42.750,2017-07-31 22:28:04.250,-3.9055636,21.5
236,2017-08-01 01:56:34.750,2017-08-01 01:56:52.750,5.296619,18.0
237,2017-08-01 04:20:48.750,2017-08-01 04:20:54.250,-1.3489056,5.5
238,2017-08-01 04:40:05.750,2017-08-01 04:40:12.250,-1.4382974,6.5
239,2017-08-01 04:45:14.250,2017-08-01 04:45:17.250,-4.144501,3.0
240,2017-08-01 05:16:13.250,2017-08-01 05:16:34.250,4.8198204,21.0
241,2017-08-01 07:56:58.250,2017-08-01 07:57:06.750,2.7652316,8.5
242,2017-08-01 10:56:09.250,2017-08-01 10:56:11.250,-3.3422065,2.0
243,2017-08-01 11:07:52.250,2017-08-01 11:07:59.250,6.336569,7.0
244,2017-08-01 11:16:59.750,2017-08-01 11:17:09.750,4.2357063,10.0
245,2017-08-01 11:21:38.750,2017-08-01 11:21:41.250,7.1084146,2.5
246,2017-08-01 11:25:24.750,2017-08-01 11:25:29.250,-15.188177,4.5
247,2017-08-01 11:25:39.750,2017-08-01 11:25:43.250,6.893839,3.5
248,2017-08-01 11:26:24.750,2017-08-01 11:26:27.250,10.032036,2.5
249,2017-08-01 11:38:30.250,2017-08-01 11:38:36.750,-2.246798,6.5
250,2017-08-01 12:12:57.750,2017-08-01 12:13:13.250,4.153624,15.5
251,2017-08-01 12:46:02.250,2017-08-01 12:46:04.250,5.589186,2.0
252,2017-08-02 21:51:58.750,2017-08-02 21:52:03.750,1.8836997,5.0
253,2017-08-03 16:30:35.250,2017-08-03 16:30:44.250,4.1589518,9.0
254,2017-08-03 16:39:58.750,2017-08-03 16:40:03.250,5.067728,4.5
255,2017-08-03 17:55:25.750,2017-08-03 17:55:34.750,-5.671006,9.0
256,2017-08-03 17:59:10.750,2017-08-03 17:59:18.750,14.379965,8.0
257,2017-08-04 08:33:15.250,2017-08-04 08:33:25.250,5.521928,10.0
258,2017-08-04 08:54:53.750,2017-08-04 08:54:57.750,-2.0797598,4.0
259,2017-08-04 08:56:05.250,2017-08-04 08:56:07.750,-3.935938,2.5
260,2017-08-04 09:02:20.750,2017-08-04 09:02:30.250,12.812881,9.5
261,2017-08-04 12:09:44.750,2017-08-04 12:09:56.250,5.788373,11.5
262,2017-08-04 12:43:43.250,2017-08-04 12:44:02.250,2.5473125,19.0
263,2017-08-05 20:37:57.250,2017-08-05 20:38:06.250,6.0481634,9.0
264,2017-08-06 00:00:57.250,2017-08-06 00:00:59.750,-3.223003,2.5
265,2017-08-06 00:04:44.750,2017-08-06 00:04:48.750,-4.58807,4.0
266,2017-08-06 00:11:43.250,2017-08-06 00:11:47.250,-14.650509,4.0
267,2017-08-06 00:14:19.750,2017-08-06 00:14:22.750,-5.969595,3.0
268,2017-08-06 05:12:48.250,2017-08-06 05:12:54.250,3.5981665,6.0
269,2017-08-06 05:14:34.750,2017-08-06 05:14:41.750,-6.4773617,7.0
270,2017-08-06 05:25:07.750,2017-08-06 05:25:09.750,-1.9991744,2.0
271,2017-08-06 05:27:20.750,2017-08-06 05:27:25.750,7.683771,5.0
272,2017-08-06 18:23:34.250,2017-08-06 18:23:36.750,1.853947,2.5
273,2017-08-06 18:24:00.750,2017-08-06 18:24:06.250,5.933536,5.5
