,Start,End,DeltaBz,Duration
177,2017-08-01 11:27:15.250,2017-08-01 11:27:19.750,10.190983,4.5
178,2017-08-01 11:27:55.250,2017-08-01 11:27:57.250,8.580044,2.0
179,2017-08-01 11:37:58.750,2017-08-01 11:38:15.750,-7.5851393,17.0
180,2017-08-03 02:40:01.250,2017-08-03 02:40:16.250,-4.107299,15.0
181,2017-08-03 16:11:20.250,2017-08-03 16:11:35.750,5.9547563,15.5
182,2017-08-03 16:25:36.750,2017-08-03 16:25:44.750,-3.4357982,8.0
183,2017-08-03 17:22:47.750,2017-08-03 17:22:50.750,-5.1229825,3.0
184,2017-08-04 07:35:56.250,2017-08-04 07:36:02.750,-10.469903,6.5
185,2017-08-04 09:05:32.750,2017-08-04 09:05:37.250,2.3388948,4.5
186,2017-08-05 20:25:27.250,2017-08-05 20:25:40.250,1.822715,13.0
187,2017-08-05 20:32:18.250,2017-08-05 20:32:21.750,-4.9513807,3.5
188,2017-08-05 20:37:03.250,2017-08-05 20:37:13.250,4.477449,10.0
189,2017-08-06 06:39:25.750,2017-08-06 06:39:30.750,1.5970957,5.0
190,2017-08-06 10:41:05.750,2017-08-06 10:41:10.250,5.8118715,4.5
191,2017-08-06 20:59:46.250,2017-08-06 20:59:58.250,-3.4399152,12.0
192,2017-08-07 11:02:48.250,2017-08-07 11:03:08.750,-2.4544368,20.5
193,2017-08-07 11:03:40.250,2017-08-07 11:03:45.250,3.2630386,5.0
194,2017-08-07 15:58:49.750,2017-08-07 15:58:54.250,2.9528992,4.5
195,2017-08-07 16:02:30.250,2017-08-07 16:02:46.250,-5.811412,16.0
196,2017-08-09 16:34:24.750,2017-08-09 16:34:29.750,-11.205338,5.0
197,2017-08-09 16:37:23.750,2017-08-09 16:37:25.750,-2.117331,2.0
198,2017-08-10 10:34:50.750,2017-08-10 10:34:56.750,2.1062992,6.0
199,2017-08-10 10:39:19.750,2017-08-10 10:39:25.250,-7.067673,5.5
200,2017-08-10 10:43:41.250,2017-08-10 10:43:48.750,9.545258,7.5
201,2017-08-10 11:09:55.750,2017-08-10 11:10:02.250,1.1070569,6.5
202,2017-08-10 12:23:57.250,2017-08-10 12:24:05.750,-4.987916,8.5
203,2017-08-10 14:31:52.250,2017-08-10 14:31:55.250,-11.401073,3.0
204,2017-08-12 01:41:56.250,2017-08-12 01:42:09.250,9.142894,13.0
205,2017-08-12 05:25:14.250,2017-08-12 05:25:22.750,3.4175904,8.5
